date,value
2020-02-17,990
2012-11-06,802
2007-05-20,1929
2021-04-11,251
2000-09-25,1332
2009-10-05,1547
2011-10-09,217
2013-10-07,1755
2021-06-14,1731
2021-10-15,665
2005-08-01,1948
2012-11-15,778
2010-03-22,847
2014-08-20,967
2019-07-17,1874
2014-07-24,1662
2019-03-05,285
2003-11-06,1790
2012-09-29,1229
2021-05-27,1312
1999-10-28,612
2016-11-18,330
2006-03-21,982
2009-06-16,373
2000-09-02,1448
2000-12-29,120
2003-09-15,297
2003-02-17,1494
2009-06-02,1976
2012-06-07,860
2015-12-25,159
2004-06-06,1438
2018-12-20,138
2014-10-26,1819
2015-03-25,1879
2011-11-14,1563
2012-04-02,167
2001-06-28,61
2012-09-06,1100
2021-04-25,161
2001-03-01,1423
1999-07-13,1688
2018-06-27,1630
2019-06-03,1580
2003-04-18,914
2021-01-05,1509
2005-03-29,1767
2010-08-04,497
1999-11-04,1318
2014-12-19,966
2003-06-21,455
1999-11-24,658
2020-06-04,542
2001-06-02,331
2003-04-10,1884
2020-04-02,155
2017-12-02,1687
2014-01-30,1372
2021-10-12,459
2017-03-16,1742
2001-02-19,1473
2005-08-04,1032
2009-12-01,960
2018-01-28,1559
2013-11-25,28
2019-12-15,479
2003-09-25,107
2012-07-29,1921
2008-04-06,336
2019-04-28,1344
2012-03-27,1456
2012-06-04,659
2004-02-24,989
1999-01-24,1088
2011-07-07,60
2015-11-24,1184
2015-05-17,1808
2017-09-16,1465
2004-07-22,740
2014-11-01,1253
2016-09-12,1592
2004-04-27,1517
2010-03-14,1259
2011-06-25,133
2002-12-01,39
2003-08-22,308
2011-08-03,1729
2016-09-28,1117
2010-10-12,1158
1999-03-15,1891
2014-10-28,1276
2000-05-30,1877
2012-07-18,1171
2020-05-02,1537
2012-04-22,1937
2016-02-14,1200
2018-09-01,36
2019-07-12,129
2020-11-20,1085
1999-03-21,867
2016-05-21,26
2011-02-12,1458
2010-07-30,1108
2016-05-07,1135
2020-05-31,140
2001-02-02,1162
2018-07-16,1901
2004-09-10,76
2016-04-28,626
2004-02-05,1261
2016-07-11,969
2000-04-08,1936
2005-10-21,1881
2019-01-16,1677
2018-12-06,1429
2017-08-16,1524
2007-06-13,1636
2017-01-22,589
2008-04-07,1564
2018-11-23,1384
2008-10-22,1000
2019-05-09,1065
1999-05-20,160
2006-07-21,641
2016-04-20,1862
2005-09-17,191
2014-12-11,1444
2000-10-31,803
2013-02-01,861
2016-05-02,1358
2010-12-18,908
2020-09-06,996
2001-10-30,1221
2012-09-30,1573
2017-01-20,1692
2013-10-15,1298
2000-10-18,527
2011-04-11,1293
2010-04-29,1869
2007-03-16,639
2010-11-28,587
2004-11-01,1750
2019-09-27,565
2018-09-24,1146
2006-01-29,1791
2014-10-21,96
2002-01-26,1598
2012-12-20,1307
2019-03-09,357
2002-04-05,1040
2007-06-05,172
2021-10-28,634
2020-05-19,1904
2002-11-09,8
2014-11-09,236
2014-03-19,1070
2017-05-10,151
2011-05-08,1109
1999-08-06,53
2001-05-08,1751
2019-08-08,1319
2018-12-13,1403
2003-01-13,33
2000-12-11,628
2002-11-30,1322
2012-02-29,927
2009-10-24,322
2008-01-14,638
1999-11-10,1345
2007-08-12,438
2002-03-22,171
2003-12-17,1652
2014-10-27,1385
2001-11-26,1569
2017-01-12,64
2018-12-24,1466
2005-09-30,1487
2011-09-05,175
2016-05-06,1410
2018-03-27,1712
2000-04-12,751
2013-08-16,911
2015-08-05,1449
1999-09-05,221
2015-09-23,1927
2021-12-04,203
2007-03-04,994
2019-04-01,1788
2018-01-04,572
2014-08-13,1417
2017-01-11,864
2012-09-25,1626
2001-06-07,1851
2013-07-30,1629
2007-06-28,449
2010-04-25,920
2001-04-19,1887
2013-04-01,1646
2004-02-12,1232
2021-01-08,1210
2020-10-10,928
2012-04-11,319
2000-05-22,1023
2014-10-17,952
2013-10-04,578
2002-01-20,1539
2012-08-12,889
2005-02-16,1015
2001-02-09,1265
1999-10-05,201
2010-06-21,950
2013-01-20,811
2012-12-11,688
2013-11-29,1341
2009-03-11,1289
2013-02-15,40
2016-07-22,309
2018-05-26,926
2002-08-02,1987
2004-01-16,165
2021-12-24,1137
2003-03-22,156
2000-04-07,1370
2021-10-01,1387
2010-07-31,1240
2015-03-15,439
1999-02-14,1075
2020-04-26,984
2000-10-04,652
2000-03-03,938
2010-07-08,177
2015-06-05,1522
